--7E2sU6zP4	vid00001
--8pSDeC-fg	vid00002
--dANj_01AU	vid00007
-00cp1iGiDw	vid00008
-028p_Njb-8	vid00009
-06_nJnhORg	vid00010
-07Hlp9ZerU	vid00011
-08ZGCviCm4	vid00012
-0BynF9TSNI	vid00013
-0FA6OhxZSE	vid00014
-0JdYlTf9Y8	vid00015
-0N0jbyBW6g	vid00016
-0ZqnVFv7eI	vid00017
-0Ztd7IpCtI	vid00018
-0daC3SWCPQ	vid00019
-0f-dGNMoGc	vid00020
-0gE556zuqg	vid00021
-0jwUa8LuGE	vid00022
-0oP2H0vAGY	vid00023
-0sphqZT1eQ	vid00024
-0yRaqY7nTE	vid00025
-17sKcaMGrI	vid00026
-19u3X85sRc	vid00027
-1KpdDGPCq4	vid00028
-1PeVdIwiq0	vid00030
-1Uik-vwQoc	vid00031
-1XUnputrgk	vid00032
-1eulcDdoVQ	vid00033
-1fUFbij2s0	vid00034
-1r9uCwPjP4	vid00035
-1rM0t5FMiE	vid00036
-1w8CrCrWlY	vid00037
-23PZTqtDBw	vid00038
-2EP6Xg24ag	vid00039
-2GMT4Qt7_Q	vid00040
-2JP6AJhnUQ	vid00041
-2bsPHZidig	vid00044
-2g3fLe7VIs	vid00045
-3aLkPuh42c	vid00054
-3bw4dQEyF8	vid00055
-3sFcDBFxc8	vid00060
-468nFNKcbM	vid00062
-4Sl9mPOlfA	vid00066
-5H_cIPcw5w	vid00077
-6PULg1jlpc	vid00089
-6PZkp-zC78	vid00090
-6YYqn8lplg	vid00091
-6bge-DwjfQ	vid00092
-6rjBnFbWkA	vid00093
-6vHGMCTYyI	vid00094
-6xQU_WIlh4	vid00095
-70D86eMmIc	vid00096
-7BtY3iQIdo	vid00098
-7H7ZHO_4Ao	vid00099
-7ZqO3skAxk	vid00102
-7dymVZqxQs	vid00103
-7kNck_OXBs	vid00106
-88OcTs9MPs	vid00109
-8AYi1n0UWo	vid00110
-8EJ9aomFAc	vid00111
-8L6L9fFWK8	vid00113
-8XxBfXAzyo	vid00115
-8j9K3T5lkw	vid00117
-8njBggrPOI	vid00118
-8qjkMAk1aE	vid00120
-8smPvP08mU	vid00121
-8tIt1vEinQ	vid00122
-8uwu59w8QE	vid00123
-916rCqIrfY	vid00124
-96cWDhR4hc	vid00125
-98tdkCF-sY	vid00126
-9D6kP1TgbY	vid00127
-9GV_-VRpt8	vid00128
-9Kic0QsCYs	vid00129
-9KqRMBAAsA	vid00130
-9QcXctenbE	vid00131
-9TP67rhLpM	vid00132
-9TmNCFEtDo	vid00133
-9__F8XKDuE	vid00134
-9_jI7kWiQY	vid00135
-9nBmSvp2Co	vid00137
-9zB8cv_WJk	vid00139
-A1jgOLlOSo	vid00140
-A2sCRKCkI4	vid00141
-A7WGsOsSQg	vid00142
-ABuU-nvJ-I	vid00143
-AFID_P6YU0	vid00144
-AKdG2AyDW4	vid00145
-AP1d_fHmeM	vid00146
-AUIJ6-UEzM	vid00147
-AVtT8Kl-fs	vid00148
-AZVqXtWGg0	vid00149
-Af89O-2O_w	vid00150
-Ag-l2A9RWI	vid00151
-Ah1r8OnmMM	vid00152
-AhZpejVexQ	vid00153
-Aiz9jYxt4g	vid00154
-Ajh5HDqsi4	vid00155
-AmkzRxGxK4	vid00156
-AwOOmEPHLo	vid00157
-B0GueDqaoY	vid00158
-B1PA__Pemg	vid00160
-B7Da808GXE	vid00161
-BABPsEWA54	vid00162
-BFCJ9zmfOo	vid00163
-BKq3iOBB9k	vid00165
-BRSDqMCi0w	vid00166
-BSQ4zKGsn4	vid00167
-BWRIFAD4_s	vid00168
-BachoTyCdw	vid00169
-BhMzw-Pem0	vid00170
-Bo59KWo7vc	vid00171
-BrxzwEb3E8	vid00173
-Bz0BNwqAE4	vid00174
-C0AZZ92J-4	vid00175
-CAPvlP0BvY	vid00176
-CBJ6FWZl08	vid00177
-CI0wTBVlaI	vid00178
-CIPk9UNF6A	vid00179
-CM5y50t9yg	vid00180
-CRFA2t8aqc	vid00181
-CYcSZkXFLs	vid00182
-CZLAzGuTSk	vid00183
-CiUc2Gk4v8	vid00185
-CmdMw3PKV8	vid00186
-CtWAhfREEc	vid00187
-CvVuffmrdg	vid00188
-Cz-97_Br50	vid00189
-D4TTnFMzZ8	vid00190
-DQ1scNd-M8	vid00192
-DV52J2dGWQ	vid00193
-Db1NJJFmVI	vid00194
-Desvoro_Bc	vid00195
-Dwk51QmItE	vid00197
-E1QuB_rCYs	vid00198
-EAXGeHv9U4	vid00199
-EdUkSqns3U	vid00201
-EgUpIYXF3k	vid00202
-EjG3LCcwEI	vid00203
-El0nx3yc6A	vid00204
-Eoqh63ofJk	vid00205
-EsVrbRTMU4	vid00206
-Et8PzXHlcA	vid00207
-F0AKr_lZd4	vid00208
-F1JCZd0keY	vid00209
-F6vN4bOBWs	vid00210
-F8wNvnNQNs	vid00211
-FC7u7u8AWo	vid00212
-FE9cQO9pmU	vid00213
-F_kZzI0-S8	vid00214
-FkQktHub0M	vid00215
-Fl3BoNWd_U	vid00216
-FmyGR0GA_E	vid00217
-_3bUhnn4PU	vid00219
-_6Fmz29bhU	vid00220
-_Ephr_gwwc	vid00221
-a1HIguW14M	vid00222
-a9uCz7Bo5E	vid00223
-aEP1MfoUSU	vid00224
-aF-wabKgGs	vid00225
-aIcS__ed0M	vid00226
-aNfi7CP8vM	vid00227
-aZEs9_Vo6g	vid00228
-amCdQr7ENQ	vid00229
-arwMBPhiF8	vid00230
-avT5MztdU0	vid00231
-ayXzLtkpQU	vid00232
-b44ieHORm4	vid00233
-b4_y6LOSx0	vid00234
-b7KlePxsAs	vid00235
-bHYenWmD3Q	vid00236
-bKHI_VTZ1Q	vid00237
-bLfarX5JXU	vid00238
-bPNlBaNvcI	vid00239
-bTEtrts5ZU	vid00240
-bZRwe2GpbY	vid00241
-bhBLfWlK28	vid00242
-bi6824GE9o	vid00243
-bjIF41A2Xs	vid00244
-bqcd-nhAJ0	vid00245
